Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396	27	-249	150	4396
28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516	28	-120	120	4516
29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592	29	-76	76	4592
30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684	30	-92	92	4684
31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779	31	-95	95	4779
32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990	32	-409	211	4990
33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085	33	-194	95	5085
34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140	34	-55	55	5140
35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222	35	-181	82	5222
36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337	36	-214	115	5337
37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408	37	-71	71	5408
38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507	38	-99	99	5507
39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576	39	-69	69	5576
40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649	40	-73	73	5649
41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725	41	-76	76	5725
42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790	42	-65	65	5790
43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839	43	-49	49	5839
44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903	44	-64	64	5903
45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019	45	-215	116	6019
46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093	46	-74	74	6093
47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154	47	-61	61	6154
48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188	48	-34	34	6188
49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233	49	-45	45	6233
50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287	50	-54	54	6287
51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342	51	-154	55	6342
52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390	52	-48	48	6390
53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425	53	-35	35	6425
54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465	54	-238	40	6465
55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553	55	-187	88	6553
